timestamp,red,ir
1766327386.8912024,122818,116586
1766327386.902154,122657,116556
1766327386.9131064,122657,116556
1766327386.9240665,122657,116556
1766327386.9350924,122865,116616
1766327386.9460533,122711,116570
1766327386.957008,122711,116570
1766327386.967982,122711,116570
1766327386.9789414,122706,116551
1766327386.9898949,122727,116586
1766327387.000848,122727,116586
1766327387.0118022,122340,116389
1766327387.0227609,122820,116593
1766327387.033715,122820,116593
1766327387.044743,122820,116593
1766327387.0557008,122191,116330
1766327387.0666614,122866,116633
1766327387.077618,122866,116633
1766327387.0885708,122148,116324
1766327387.099523,122921,116664
1766327387.1104743,122921,116664
1766327387.121433,122921,116664
1766327387.132387,122183,116329
1766327387.1433537,122918,116641
1766327387.15437,122918,116641
1766327387.1653497,122918,116641
1766327387.1763296,122224,116358
1766327387.187288,122919,116643
1766327387.1982405,122919,116643
1766327387.2091937,122258,116344
1766327387.220165,122951,116678
1766327387.2311194,122951,116678
1766327387.2420726,122951,116678
1766327387.2530375,122324,116389
1766327387.2639942,122975,116663
1766327387.27495,122975,116663
1766327387.2859123,122975,116663
1766327387.296867,122341,116416
1766327387.3078187,122931,116656
1766327387.318773,122931,116656
1766327387.329739,122328,116383
1766327387.3406997,122753,116563
1766327387.3516526,122753,116563
1766327387.3626132,122753,116563
1766327387.3735871,122371,116407
1766327387.384591,122459,116444
1766327387.395666,122459,116444
1766327387.4068332,122427,116442
1766327387.4179664,122337,116370
1766327387.4289951,122337,116370
1766327387.4400237,122337,116370
1766327387.4510474,122484,116456
1766327387.4620664,122320,116399
1766327387.4731176,122320,116399
1766327387.4841845,122320,116399
1766327387.495208,122506,116483
1766327387.5062299,122358,116428
1766327387.5172794,122358,116428
1766327387.528316,122603,116474
1766327387.5393329,122375,116418
1766327387.5503514,122375,116418
1766327387.5613706,122375,116418
1766327387.5724149,122659,116512
1766327387.583439,122386,116438
1766327387.5946205,122386,116438
1766327387.6057172,122678,116508
1766327387.6167638,122395,116437
1766327387.6278281,122395,116437
1766327387.638866,122395,116437
1766327387.6500478,122745,116533
1766327387.6611302,122372,116424
1766327387.6721942,122372,116424
1766327387.683236,122372,116424
1766327387.6943457,122761,116556
1766327387.7053742,122405,116445
1766327387.7163966,122405,116445
