t,red,ir
1766854701.0875046,242083,225081
1766854701.097505,242083,225081
1766854701.107524,242083,225081
1766854701.1175215,242216,225055
1766854701.1275318,242060,225085
1766854701.1375158,242060,225085
1766854701.147522,242060,225085
1766854701.157525,242249,225059
1766854701.1675107,241894,225037
1766854701.1775084,241894,225037
1766854701.1875079,241894,225037
1766854701.1975126,242127,225060
1766854701.2075071,241703,224969
1766854701.2175045,241703,224969
1766854701.2275069,241703,224969
1766854701.2375057,241898,225016
1766854701.2475069,241680,224965
1766854701.2575076,241680,224965
1766854701.2675242,241680,224965
1766854701.2775164,241806,224979
1766854701.2875063,241789,225001
1766854701.2975206,241789,225001
1766854701.3075073,241789,225001
1766854701.3175044,241836,225020
1766854701.3275044,241864,225009
1766854701.3375037,241864,225009
1766854701.3475049,241864,225009
1766854701.3575048,241908,224996
1766854701.3675208,241937,225034
1766854701.3775158,241937,225034
1766854701.3875217,241937,225034
1766854701.397519,241962,225042
1766854701.4075196,241962,225042
1766854701.4175081,241962,225042
1766854701.4275062,241962,225042
1766854701.4375148,241974,225059
1766854701.4475143,241974,225059
1766854701.457507,241974,225059
1766854701.4675093,242123,225010
1766854701.4775064,241972,225043
1766854701.487505,241972,225043
1766854701.4975045,241972,225043
1766854701.5075045,242101,225013
1766854701.5175266,241990,225051
1766854701.5275135,241990,225051
1766854701.5375094,241990,225051
1766854701.5475051,242119,225015
1766854701.5575051,242020,225047
1766854701.5675051,242020,225047
1766854701.5775049,242020,225047
1766854701.5875041,242129,225018
1766854701.597505,242070,225050
1766854701.607506,242070,225050
1766854701.617522,242070,225050
1766854701.62752,242158,225034
1766854701.6375153,242073,225049
1766854701.6475754,242073,225049
1766854701.6575325,242073,225049
1766854701.6675096,242182,225045
1766854701.677508,242074,225046
1766854701.6875072,242074,225046
1766854701.697507,242074,225046
1766854701.7075076,242209,225033
1766854701.7175121,242114,225059
1766854701.7275229,242114,225059
1766854701.7375073,242114,225059
1766854701.7475636,242221,225034
1766854701.7575104,242147,225066
1766854701.7675064,242147,225066
1766854701.7775044,242147,225066
1766854701.7875588,242252,225047
1766854701.797527,242083,225055
1766854701.8075097,242083,225055
1766854701.8175035,242083,225055
1766854701.827507,242235,225039
1766854701.8375304,241880,224974
1766854701.8475075,241880,224974
1766854701.8575056,241880,224974
1766854701.8681374,242060,224971
1766854701.8775225,241703,224924
1766854701.8875246,241703,224924
1766854701.8975077,241703,224924
1766854701.9075062,241879,224920
1766854701.9175036,241715,224912
1766854701.9275134,241715,224912
1766854701.9375076,241715,224912
1766854701.9475055,241851,224900
1766854701.9575067,241840,224957
1766854701.9675066,241840,224957
1766854701.9775112,241840,224957
1766854701.987506,241916,224936
1766854701.9975321,241938,224996
1766854702.0075097,241938,224996
1766854702.0175042,241938,224996
1766854702.0275257,241994,224954
1766854702.03751,241978,225002
1766854702.0475075,241978,225002
1766854702.0575051,241978,225002
1766854702.0675042,242047,224974
1766854702.0775247,242002,225019
1766854702.0875075,242002,225019
1766854702.0976758,242002,225019
1766854702.1075253,242073,224973
1766854702.1175067,242024,225035
1766854702.1275046,242024,225035
1766854702.1375797,242024,225035
1766854702.1475277,242071,224974
1766854702.1575224,242025,225017
1766854702.1675274,242025,225017
1766854702.177509,242025,225017
1766854702.1875072,242049,224956
1766854702.197506,242041,225030
1766854702.2075408,242041,225030
1766854702.217525,242041,225030
1766854702.2275224,242073,224976
1766854702.2377675,242087,225042
1766854702.2475052,242087,225042
1766854702.257505,242087,225042
1766854702.2675211,242106,224976
1766854702.277511,242118,225052
1766854702.287526,242118,225052
1766854702.2975113,242118,225052
1766854702.3075235,242118,224976
1766854702.317524,242149,225059
1766854702.3275084,242149,225059
1766854702.3375049,242149,225059
1766854702.3475034,242130,224982
1766854702.3575106,242216,225055
1766854702.3675077,242216,225055
1766854702.3775048,242216,225055
1766854702.3875043,242155,224977
1766854702.3975062,242249,225059
1766854702.4075038,242249,225059
1766854702.417504,242249,225059
1766854702.4275038,242163,224988
1766854702.437526,242127,225060
1766854702.4475071,242127,225060
1766854702.4575057,242127,225060
1766854702.467504,242118,224974
1766854702.4775047,241898,225016
1766854702.4875038,241898,225016
1766854702.4975033,241898,225016
1766854702.507504,241886,224884
1766854702.5175242,241806,224979
1766854702.5275214,241806,224979
1766854702.5375073,241806,224979
1766854702.547506,241667,224812
1766854702.557506,241836,225020
1766854702.5675075,241836,225020
1766854702.5775313,241836,225020
1766854702.5875103,241640,224806
1766854702.597524,241908,224996
1766854702.6075103,241908,224996
1766854702.6175058,241908,224996
1766854702.627505,241734,224837
1766854702.63752,242009,224856
1766854702.6475105,242009,224856
1766854702.6578932,242009,224856
1766854702.6675217,241875,224886
1766854702.6776788,242072,224912
1766854702.6879222,242072,224912
1766854702.6975148,242072,224912
1766854702.7075174,241961,224907
1766854702.7175126,242123,225010
1766854702.727508,242123,225010
1766854702.7375047,242123,225010
1766854702.7475104,242023,224908
1766854702.7575076,242101,225013
1766854702.7675064,242101,225013
1766854702.777523,242101,225013
1766854702.7875078,241972,224909
1766854702.7975047,242119,225015
1766854702.8075056,242119,225015
1766854702.8175166,242119,225015
1766854702.827513,241881,224910
1766854702.8375056,242129,225018
1766854702.847505,242129,225018
1766854702.857505,242129,225018
1766854702.8675041,241828,224902
1766854702.8775053,242158,225034
1766854702.8875048,242158,225034
1766854702.8975046,242158,225034
1766854702.9075253,241967,224963
1766854702.9175065,242182,225045
1766854702.9275215,242182,225045
1766854702.9375212,242182,225045
1766854702.94752,242051,225012
1766854702.9575114,242209,225033
1766854702.9675088,242209,225033
1766854702.9775124,242209,225033
1766854702.987505,242073,224889
1766854702.997505,242221,225034
1766854703.0075047,242221,225034
1766854703.0175037,242221,225034
1766854703.0275264,242252,225047
1766854703.0375211,242252,225047
1766854703.0475094,242252,225047
1766854703.0575387,242252,224894
1766854703.0675302,242235,225039
1766854703.0775206,242235,225039
1766854703.0875192,242235,225039
1766854703.0975087,242106,224938
1766854703.107525,242060,224971
1766854703.1175091,242060,224971
1766854703.1275263,242060,224971
1766854703.1375082,241852,224846
1766854703.147507,241879,224920
1766854703.1575098,241879,224920
1766854703.1675074,241879,224920
1766854703.1775074,241608,224749
1766854703.187507,241851,224900
1766854703.1975079,241851,224900
1766854703.207519,241851,224900
1766854703.2175083,241589,224747
1766854703.227506,241916,224936
1766854703.2375069,241916,224936
1766854703.2475066,241916,224936
1766854703.2575054,241675,224789
1766854703.267508,241994,224954
1766854703.277508,241994,224954
1766854703.287505,241994,224954
1766854703.297506,241794,224833
1766854703.3075051,242047,224974
1766854703.317505,242047,224974
1766854703.3275046,242047,224974
1766854703.3375313,241886,224850
1766854703.3475223,242073,224973
1766854703.3575165,242073,224973
1766854703.3675075,242073,224973
1766854703.377512,241927,224866
1766854703.3875206,242071,224974
